 4.00000000e-007 2.30000000e+000 2.00000000e-002
 4.48000000e-007 2.12720000e+000 1.04000000e-002
 4.52000000e-007 2.11680000e+000 1.00000000e-002
 5.00000000e-007 2.04000000e+000 1.00000000e-002
 5.52000000e-007 1.99840000e+000 1.00000000e-002
 6.00000000e-007 1.96000000e+000 1.00000000e-002
 6.52000000e-007 1.92920000e+000 1.00000000e-002
 7.00000000e-007 1.91000000e+000 1.00000000e-002
 7.52000000e-007 1.87880000e+000 1.00000000e-002
 8.00000000e-007 1.85000000e+000 1.00000000e-002
